date,usd_to_yen_opening_price,usd_to_yen_closing_price,eur_to_usd_opening_price,eur_to_usd_closing_price
系列名称,"東京市場　ドル・円　スポット　9時時点","東京市場　ドル・円　スポット　17時時点","東京市場　ユーロ・ドル　スポット　9時時点","東京市場　ユーロ・ドル　スポット　17時時点"
20210101,NA,NA,NA,NA
20210102,NA,NA,NA,NA
20210103,NA,NA,NA,NA
20210104,103.25,102.92,1.225,1.2264
20210105,103.14,102.94,1.2253,1.2259
20210106,102.69,102.75,1.2299,1.234
20210107,103.03,103.37,1.2339,1.2312
20210108,103.81,103.98,1.2269,1.2239
20210109,NA,NA,NA,NA
20210110,NA,NA,NA,NA
20210111,NA,NA,NA,NA
20210112,104.14,104.16,1.2161,1.2164
20210113,103.75,103.69,1.2209,1.2204
20210114,103.84,104.04,1.2162,1.2143
20210115,103.84,103.7,1.2151,1.2135
20210116,NA,NA,NA,NA
20210117,NA,NA,NA,NA
20210118,103.92,103.76,1.2067,1.2068
20210119,103.71,104,1.2077,1.2105
20210120,103.91,103.75,1.2141,1.2156
20210121,103.56,103.53,1.2115,1.212
20210122,103.51,103.68,1.2166,1.2157
20210123,NA,NA,NA,NA
20210124,NA,NA,NA,NA
20210125,103.79,103.71,1.2168,1.218
20210126,103.76,103.81,1.2143,1.2113
20210127,103.6,103.68,1.2163,1.2155
20210128,104.15,104.31,1.2103,1.2094
20210129,104.31,104.55,1.2121,1.2105
20210130,NA,NA,NA,NA
20210131,NA,NA,NA,NA
20210201,104.71,104.75,1.2123,1.2127
20210202,104.89,104.99,1.2068,1.2069
20210203,105.03,105.06,1.2037,1.2038
20210204,105,105.2,1.2042,1.2008
20210205,105.58,105.5,1.1966,1.1964
20210206,NA,NA,NA,NA
20210207,NA,NA,NA,NA
20210208,105.4,105.49,1.205,1.2041
20210209,105.21,104.78,1.2053,1.2081
20210210,104.58,104.52,1.2117,1.213
20210211,NA,NA,NA,NA
20210212,104.76,104.93,1.2131,1.2116
20210213,NA,NA,NA,NA
20210214,NA,NA,NA,NA
20210215,105.07,105.18,1.2121,1.2133
20210216,105.39,105.49,1.2132,1.213
20210217,106.12,106.03,1.2089,1.2074
20210218,105.86,105.82,1.2046,1.2048
20210219,105.66,105.6,1.2092,1.211
20210220,NA,NA,NA,NA
20210221,NA,NA,NA,NA
20210222,105.54,105.82,1.2125,1.211
20210223,NA,NA,NA,NA
20210224,105.3,105.57,1.2151,1.2156
20210225,105.96,106.01,1.217,1.2187
20210226,106.39,106.09,1.2158,1.2135
20210227,NA,NA,NA,NA
20210228,NA,NA,NA,NA
20210301,106.48,106.6,1.2091,1.2077
20210302,106.85,106.85,1.2048,1.2008
20210303,106.76,106.82,1.2085,1.2094
