date,usd_to_yen_opening_price,FM08'FXERD02,FM08'FXERD03,usd_to_yen_closing_price,FM08'FXERD05,FM08'FXERD06,FM08'FXERD07,eur_to_usd_opening_price,FM08'FXERD32,FM08'FXERD33,eur_to_usd_closing_price,FM08'FXERD35,FM08'FXERD36,FM08'FXERD39,FM08'FXERD37,FM08'FXERD38,FM08'FXERD11,FM08'FXERD12,FM08'FXERD13,FM08'FXERD14,FM08'FXERD21,FM08'FXERD22
系列名称,東京市場　ドル・円　スポット　9時時点,東京市場　ドル・円　スポット　最高値,東京市場　ドル・円　スポット　最安値,東京市場　ドル・円　スポット　17時時点,東京市場　ドル・円　スポット　中心相場,東京市場　ドル・円　スポット出来高,東京市場　ドル・円　スワップ出来高,東京市場　ユーロ・ドル　スポット　9時時点,東京市場　ユーロ・ドル　スポット　最高値,東京市場　ユーロ・ドル　スポット　最安値,東京市場　ユーロ・ドル　スポット　17時時点,東京市場　ユーロ・ドル　スポット出来高,東京市場　ユーロ・ドル　スワップ出来高,円インデックス,（更新停止）東京市場　ドル・円　オプション出来高（2012年1月31日まで）,（更新停止）東京市場　ユーロ・ドル　オプション出来高（2012年1月31日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド1ヵ月（2010年2月26日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド3ヵ月（2010年2月26日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド1ヵ月　年率（2010年2月26日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド3ヵ月　年率（2010年2月26日まで）,（更新停止）東京市場　ドル・円　通貨オプション　ボラティリティ1ヵ月（2010年2月26日まで）,（更新停止）東京市場　ドル・円　通貨オプション　ボラティリティ3ヵ月（2010年2月26日まで）
20211201,113.3,113.63,113.1,113.42,113.4,6824,54636,1.1331,1.1351,1.1317,1.1341,1896,7493,98.35,,,,,,,,
20211202,112.88,113.33,112.65,113.27,112.96,5523,38074,1.132,1.1338,1.1308,1.1311,1164,6576,98.14,,,,,,,,
20211203,113.03,113.4,112.96,113.38,113.13,5650,41944,1.1306,1.1307,1.1282,1.1294,1613,7753,98.47,,,,,,,,
20211204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20211205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20211206,113.05,113.17,112.85,113.15,113.05,4195,40482,1.1305,1.1307,1.1275,1.1276,852,7631,97.89,,,,,,,,
20211207,113.47,113.74,113.4,113.64,113.7,3871,37414,1.1284,1.1297,1.1276,1.129,1227,7101,97.65,,,,,,,,
20211208,113.52,113.69,113.33,113.41,113.48,4895,43062,1.1273,1.1295,1.1269,1.1286,1134,5613,97.29,,,,,,,,
20211209,113.7,113.82,113.45,113.49,113.75,3258,42876,1.1344,1.1344,1.1317,1.1322,1254,8391,97.75,,,,,,,,
